ID,Name,Concepticon_ID,Concepticon_Gloss,Concepticon_Definition,Description_md
4,ash,646,ASH,The incombustible matter remaining after a substance has been incinerated.,"##### Illustrative Context\n_There was nothing left but **ash**._\n\n##### Disambiguation\nBeware the ambiguity of English _ash_.  The meaning here is _ash_ as the remains of burnt materials, **not** the tree species _ash_.\n\n##### Target Sense\n* Ash as the generic word for the powdery remains from burning many materials, such as wood, grass or dry dung.\n* The lexeme must be applicable to **cold** ash.  Avoid words that refer specifically to still hot _embers_.\n* The lexeme must be applicable to ash as reduced to **powder**.  Avoid words that can refer to material not fully burnt and still solid, objects that are merely charred or blackened.\n* The lexeme must be applicable to ash that is **white/grey** in colour, and not just charred black _soot_. \n* The generic term for the **substance**.  In many languages this will be a mass/non-count noun, as in English ‘singular’ _ash_ or French _(la) cendre_.  In such cases, provide this mass or ‘singular’ form, especially if plural forms have more specific senses, such as _ash**es**_ or _(les) cendre**s**_ — see the next bullet point.\n* Avoid words with the specific sense of the burnt remains of a particular thing, or indeed a body, and/or the results of a deliberate act of cremation, e.g. Russian _прах_ or the usage of the plural _ash**es**_ in English.\n "
6,back,1291,BACK,"The rear of body, especially the part between the neck and the end of the spine and opposite the chest and belly.","#### Illustrative Context\n_I fell over and now my **back** hurts._\n\n#### Disambiguation\nBeware the polysemy of English _back_.  The meaning intended here is the noun for the **part of the human body**, not the reverse side of an object, nor the adverb as in _go back_, _put it back_.\n\n#### Target Sense\n* The most generic term for the ‘back’ as a part of the human body.  \n* The term should be able to refer to the whole back, from the shoulders to the hips. \n* In many languages, such as English, the lexeme in this target sense (_back_) can also be applied more widely, e.g. on _horseback_ or the _back of the house_.  In such languages, this remains the correct lexeme to select, since it is also the basic term for the target sense.  \n* Avoid, however, terms that refer _specifically_ to the ‘back’ of an animal or the reverse side of an object, if different from the basic word for the human back.\n* Avoid terms specific to the sense of the weight-bearing part of the body for carrying.  In particular, avoid terms that mean specifically _shoulders_. \n* Avoid narrower terms specific to only one part of the back, e.g. equivalent either to English _upper back_ or _lower back_ only.\n* If a language has two distinct lexemes for the upper vs. lower back specifically, but no generic lexeme applicable to the whole back, then select the term considered the more basic and commoner of the two.  Only if no such judgement seems justifiable, then select the term for the upper back."
7,bad,1292,BAD,Not good; unfavorable; negative.,"#### Illustrative Context\n_That isn’t a good idea, it’s a **bad** idea._\n\n#### Target Sense\n* The most generic, default, unmarked adjective for negative judgement, as an antonym of [good](/wiki/Meaning:-good).  \n* The target sense is a general judgement of negative, i.e. deleterious or inappropriate in the current context.  \nBeware the wide polysemy of the English word _bad_.  \n* Avoid terms specific to the sense of _morally_ wrong or _evil_.  There is no necessary implication of this in the IE-CoR target sense of ‘bad’.\n* Avoid terms for other specific sub-senses of English ‘bad’, e.g. words that mean specifically ‘rotten’, ‘angry’, etc.. \n* Avoid marked, intensifying words, such as _terrible_, _horrible_.\n* Some languages may not have a straightforward candidate lexeme for this target sense.  In such cases, as well as the illustrative context given above, consider also which term for ‘bad’ works well in a wider variety of usage contexts. \n* Occasional languages (e.g. Cuzco Quechua) may even lack a default generic adjective for ‘bad’, and instead use just a negation of their lexeme for ‘good’.  It is possible to enter this ‘not good’ combination as the lexeme for this meaning, but only in languages where there is no viable simple adjective for negative judgement."
8,bark,1204,BARK,The exterior covering of the trunk and branches of a tree.,"##### Illustrative Context\n_He tore some **bark** off the tree._\n\n##### Disambiguation\nThe noun for the bark (outer layer) of a tree, **not** the verb (or noun) for the sound made by a dog!\n\n##### Target Sense\n* The most basic, generic term for the outermost layer(s) of the trunk and branches of a tree or shrub, often relatively easily stripped off. \n* Avoid technical terms from botany.  Base your lexeme determination on common usage, not on botanical nomenclature\nand classification.  Select the most basic, generic term that includes the outermost layer, even if that popular usage may also include other immediately underlying layers as strictly defined in botany.  \n* Avoid terms that mean specifically _cork_ — technically only part of the bark, and not the outermost layer — or any other sub-layer.\n* Avoid terms specific to particular uses of bark, or parts of it, e.g. _cork_.\n* Avoid terms specific to particular types of bark, or the bark of particular types of tree.\n\n\n"
10,belly,1251,BELLY,"The lower part of the front of the torso (or a comparable part of an animal), confined by the upper side by the midriff and the lowerside by the pelvis. Contains the intestines.","#### Illustrative Context\n_He punched him in the **belly**._\n\n#### Target Sense\nThe front part of the human body below the rib-cage/chest and above the pelvis.\n\n* Avoid more loaded terms with specific overtones, such as size or protrusion, e.g. _paunch_, _pot belly_.\n* Avoid higher register terms, e.g. scientific or medical terms such as _abdomen_.\n* Avoid nursery-register terms such as _tummy_.\n* Avoid terms *specific* to internal organs.  Only in cases where a lexeme that originally referred to an internal organ has since extended semantically to become the default register word also (ambiguously) for the target sense here, would that lexeme be the correct selection.  An example is that in some varieties of English, _stomach_ has indeed now become the (ambiguous) default term for this meaning.\n "
11,big,1202,BIG,Of a great size; the weakest sense of great size.,"##### Illustrative Context\n_This is a **big** stone. That is a small stone._\n\n##### Target Sense\n* The most generic term, typically adjectival, for large size in an unspecified dimension.  The basic, default antonym of [small](/wiki/Meaning:-small).  \n* The basic term will generally be applicable very widely, but must be applicable at least to inanimate objects.  Avoid terms used only or predominantly to refer to people.\n* Avoid terms specific to a particular dimension like height, width or girth:  i.e. avoid terms such as _tall_, _wide_ or _fat_.  \n* Avoid intensifying terms that stress especially big, e.g. _huge_, _vast_, _enormous_.\n* Enter the most basic, neutral term.  Avoid lexemes with any inherent value judgement of any form, e.g. _great_, _grand_.\n* See also the definition for the IE-CoR meaning [small](../wiki/Meaning:-small).  \n"
12,bird,937,BIRD,"Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.","#### Illustrative Context\n_What **bird** does this feather come from?_\n\n#### Target Sense\n* The most basic, generic term to refer to birds.  \n* The generic lexeme selected must be able to refer to a flighted bird of medium size, for example a common (Eurasian) blackbird — but obviously must not be the specific name of that or any other individual bird species.\n* In languages that have no single generic term, but separate terms by size, select the term for birds of that medium (blackbird) size.  \n* Avoid terms _specific_ to particularly small or particularly large species of bird.\n* Avoid terms specific to particular types of bird, such as birds of prey, e.g. _raptor_.  \n* Avoid terms specific to domesticated or hunted birds, e.g. _fowl_.\n* Avoid technical, biological terminology, e.g. _avian_.\n"
13,bite,1403,BITE,Clamping the teeth hard on something.,"##### Illustrative Context\n_The dog **bit** him._\n\n##### Target Sense\n* Most generic transitive verb for biting with the teeth, avoiding any terms with more limited and specific senses.\n* Avoid terms specific to the ‘bite’ (or sting) of insects, snakes, etc..\n* Avoid terms for prolonged, repeated biting or masticating with the teeth, e.g. _gnaw_, _chew_, _chomp_, etc..\n* Avoid terms that imply _continuing_ to grasp or hold on to with the teeth.\n* Avoid terms specifically meaning to cut or tear away with the teeth, i.e. _bite **off**_.\n* Avoid terms with any other narrower senses or usage, e.g. specifically for biting food, or indeed for biting people.\n\n"
14,black,163,BLACK,Dark and colourless; not reflecting visible light.,"#### Illustrative Context\n_Charcoal is **black**._\n\n#### Target Sense\n* The most basic colour term (usually adjectival) seen as the natural antonym of [white](../wiki/Meaning:-white).\n* Avoid terms meaning _dark_ (absence of (day)light), _dirty_ or _burnt_.\n* Avoid terms limited to figurative senses such as _bleak_, _depressing_.\n* Give only the most basic colour term:  avoid near-synonymous terms based on specific things (especially nouns!) that are prototypically black in colour:  e.g. _soot_, ebony_, _jet_.\n* Avoid intensifying terms or compounds used to stress _totally_ or _completely_ black, e.g. _pitch black_. "
15,blood,946,BLOOD,A fluid connective tissue consisting of the plasma and cells that circulate in the blood vessels.,"##### Illustrative Context\n_**Blood** is red._\n\n##### Target Sense\n* The most generic term for blood, which must be able to be applied specifically to human blood as running fresh from a cut to the skin.  (In most languages the basic generic term will also be applicable to the blood of many animals.) \n* Select only the basic, default register term:  avoid technical, medical terms.\n* Avoid loaded or emotive terms, e.g. English _gore_ or Latin _cruor_ rather than basic _sanguis_.\n* Avoid words only or predominantly used in figurative senses of ‘blood’ as ancestry, offspring, vigour, etc..\n* Avoid more specific terms for types of blood, e.g. dried blood (e.g. as a food), etc.\n* If a language has no cover term, but has separate terms for lighter red (arterial) and darker red (vein) blood, then select whichever is the more basic, and only if that cannot be determined, select specifically the term for lighter red, arterial blood.\n"
